,ID,Name,Club,Year,Overall
102,226161,Marcos Llorente,Atlético Madrid,2021,82
103,226161,Marcos Llorente,Atlético de Madrid,2022,86
104,226161,Marcos Llorente,Atlético de Madrid,2023,84
105,212616,R. De Paul,Udinese,2017,74
106,212616,R. De Paul,Udinese,2018,74
107,212616,R. De Paul,Udinese,2019,77
108,212616,R. De Paul,Udinese,2020,78
109,212616,R. De Paul,Udinese,2021,77
110,212616,R. De Paul,Atlético de Madrid,2022,82
111,212616,R. De Paul,Atlético de Madrid,2023,84
112,181458,I. Perišić,Inter,2017,84
113,181458,I. Perišić,Inter,2018,85
114,181458,I. Perišić,Inter,2019,85
115,181458,I. Perišić,FC Bayern München,2020,83
116,181458,I. Perišić,Inter,2021,82
117,181458,I. Perišić,Inter,2022,81
118,181458,I. Perišić,Tottenham Hotspur,2023,84
119,228702,F. de Jong,Ajax,2017,70
120,228702,F. de Jong,Ajax,2018,75
121,228702,F. de Jong,Ajax,2019,84
122,228702,F. de Jong,FC Barcelona,2020,86
123,228702,F. de Jong,FC Barcelona,2021,85
124,228702,F. de Jong,FC Barcelona,2022,87
125,228702,F. de Jong,FC Barcelona,2023,87
126,194765,A. Griezmann,Atlético Madrid,2017,88
127,194765,A. Griezmann,Atlético Madrid,2018,88
128,194765,A. Griezmann,Atlético Madrid,2019,89
129,194765,A. Griezmann,FC Barcelona,2020,89
130,194765,A. Griezmann,FC Barcelona,2021,87
131,194765,A. Griezmann,Atlético de Madrid,2022,85
132,194765,A. Griezmann,Atlético de Madrid,2023,83
133,193082,J. Cuadrado,Juventus,2017,83
134,193082,J. Cuadrado,Juventus,2018,83
135,193082,J. Cuadrado,Juventus,2019,84
136,193082,J. Cuadrado,Juventus,2020,83
137,193082,J. Cuadrado,Juventus,2021,81
138,193082,J. Cuadrado,Juventus,2022,83
139,193082,J. Cuadrado,Juventus,2023,83
140,208574,F. Kostić,Hamburger SV,2017,78
141,208574,F. Kostić,Hamburger SV,2018,78
142,208574,F. Kostić,Eintracht Frankfurt,2019,80
143,208574,F. Kostić,Eintracht Frankfurt,2020,83
144,208574,F. Kostić,Eintracht Frankfurt,2021,83
145,208574,F. Kostić,Eintracht Frankfurt,2022,84
146,208574,F. Kostić,Eintracht Frankfurt,2023,85
147,231281,T. Alexander-Arnold,Liverpool,2017,68
148,231281,T. Alexander-Arnold,Liverpool,2018,75
149,231281,T. Alexander-Arnold,Liverpool,2019,80
150,231281,T. Alexander-Arnold,Liverpool,2020,85
151,231281,T. Alexander-Arnold,Liverpool,2021,87
152,231281,T. Alexander-Arnold,Liverpool,2022,87
153,231281,T. Alexander-Arnold,Liverpool,2023,87
154,176580,L. Suárez,FC Barcelona,2017,92
155,176580,L. Suárez,FC Barcelona,2018,92
156,176580,L. Suárez,FC Barcelona,2019,91
157,176580,L. Suárez,FC Barcelona,2020,89
158,176580,L. Suárez,Atlético Madrid,2021,87
159,176580,L. Suárez,Atlético de Madrid,2022,88
160,176580,L. Suárez,Club Nacional de Football,2023,84
161,235212,A. Hakimi,Real Madrid,2017,70
162,235212,A. Hakimi,Real Madrid,2018,73
163,235212,A. Hakimi,Borussia Dortmund,2019,78
164,235212,A. Hakimi,Borussia Dortmund,2020,82
165,235212,A. Hakimi,Inter,2021,83
166,235212,A. Hakimi,Paris Saint-Germain,2022,85
167,235212,A. Hakimi,Paris Saint-Germain,2023,84
168,216352,M. Brozović,Inter,2017,81
169,216352,M. Brozović,Inter,2018,80
170,216352,M. Brozović,Inter,2019,81
171,216352,M. Brozović,Inter,2020,83
172,216352,M. Brozović,Inter,2021,84
173,216352,M. Brozović,Inter,2022,84
174,216352,M. Brozović,Inter,2023,86
175,209331,M. Salah,Roma,2017,82
176,209331,M. Salah,Liverpool,2018,87
177,209331,M. Salah,Liverpool,2019,89
178,209331,M. Salah,Liverpool,2020,90
179,209331,M. Salah,Liverpool,2021,90
180,209331,M. Salah,Liverpool,2022,89
181,209331,M. Salah,Liverpool,2023,90
182,189509,Thiago,FC Bayern München,2017,86
183,189509,Thiago,FC Bayern München,2018,88
184,189509,Thiago,FC Bayern München,2019,87
185,189509,Thiago,FC Bayern München,2020,86
186,189509,Thiago,Liverpool,2021,85
187,189509,Thiago,Liverpool,2022,86
188,189509,Thiago,Liverpool,2023,86
189,189332,Jordi Alba,FC Barcelona,2017,86
190,189332,Jordi Alba,FC Barcelona,2018,87
191,189332,Jordi Alba,FC Barcelona,2019,87
192,189332,Jordi Alba,FC Barcelona,2020,86
193,189332,Jordi Alba,FC Barcelona,2021,86
194,189332,Jordi Alba,FC Barcelona,2022,86
195,189332,Jordi Alba,FC Barcelona,2023,85
196,213565,T. Lemar,AS Monaco,2017,80
197,213565,T. Lemar,AS Monaco,2018,83
198,213565,T. Lemar,Atlético Madrid,2019,83
199,213565,T. Lemar,Atlético Madrid,2020,82
200,213565,T. Lemar,Atlético Madrid,2021,81
201,213565,T. Lemar,Atlético de Madrid,2022,83
202,213565,T. Lemar,Atlético de Madrid,2023,83
203,230767,Renato Sanches,FC Bayern München,2017,77
204,230767,Renato Sanches,Swansea City,2018,75
205,230767,Renato Sanches,FC Bayern München,2019,75
206,230767,Renato Sanches,LOSC Lille,2020,78
207,230767,Renato Sanches,LOSC Lille,2021,78
208,230767,Renato Sanches,LOSC Lille,2022,80
209,230767,Renato Sanches,Paris Saint-Germain,2023,80
210,190286,Canales,Real Sociedad,2017,79
211,190286,Canales,Real Sociedad,2018,78
212,190286,Canales,Real Betis,2019,83
213,190286,Canales,Real Betis,2020,84
214,190286,Canales,Real Betis,2021,82
215,190286,Canales,Real Betis Balompié,2022,83
216,190286,Canales,Real Betis Balompié,2023,84
217,226754,I. Bennacer,Tours FC,2017,62
218,226754,I. Bennacer,Empoli,2018,70
219,226754,I. Bennacer,Empoli,2019,73
220,226754,I. Bennacer,Milan,2020,74
221,226754,I. Bennacer,Milan,2021,75
222,226754,I. Bennacer,AC Milan,2022,80
223,226754,I. Bennacer,AC Milan,2023,82
224,212462,Alex Telles,FC Porto,2017,80
225,212462,Alex Telles,FC Porto,2018,82
226,212462,Alex Telles,FC Porto,2019,84
227,212462,Alex Telles,FC Porto,2020,84
228,212462,Alex Telles,FC Porto,2021,84
229,212462,Alex Telles,Manchester United,2022,82
230,212462,Alex Telles,Sevilla FC,2023,80
231,231969,R. Malinovskyi,KRC Genk,2017,73
232,231969,R. Malinovskyi,KRC Genk,2018,74
233,231969,R. Malinovskyi,KRC Genk,2019,79
234,231969,R. Malinovskyi,Atalanta,2020,79
235,231969,R. Malinovskyi,Atalanta,2021,79
236,231969,R. Malinovskyi,Atalanta,2022,81
237,231969,R. Malinovskyi,Atalanta,2023,82
238,200145,Casemiro,Real Madrid,2017,84
239,200145,Casemiro,Real Madrid,2018,86
240,200145,Casemiro,Real Madrid,2019,87
241,200145,Casemiro,Real Madrid,2020,88
242,200145,Casemiro,Real Madrid,2021,89
243,200145,Casemiro,Real Madrid CF,2022,89
244,200145,Casemiro,Real Madrid CF,2023,89
245,220651,Angeliño,RCD Mallorca,2017,68
246,220651,Angeliño,NAC Breda,2018,71
247,220651,Angeliño,PSV,2019,79
248,220651,Angeliño,RB Leipzig,2020,78
249,220651,Angeliño,RB Leipzig,2021,80
250,220651,Angeliño,RB Leipzig,2022,83
251,220651,Angeliño,TSG Hoffenheim,2023,83
252,230938,F. Kessié,Atalanta,2017,75
253,230938,F. Kessié,Milan,2018,77
254,230938,F. Kessié,Milan,2019,79
255,230938,F. Kessié,Milan,2020,78
256,230938,F. Kessié,Milan,2021,77
257,230938,F. Kessié,AC Milan,2022,84
258,230938,F. Kessié,FC Barcelona,2023,84
259,200458,L. Digne,FC Barcelona,2017,79
260,200458,L. Digne,FC Barcelona,2018,79
261,200458,L. Digne,Everton,2019,81
262,200458,L. Digne,Everton,2020,83
263,200458,L. Digne,Everton,2021,84
264,200458,L. Digne,Everton,2022,84
265,200458,L. Digne,Aston Villa,2023,82
266,188545,R. Lewandowski,FC Bayern München,2017,90
267,188545,R. Lewandowski,FC Bayern München,2018,91
268,188545,R. Lewandowski,FC Bayern München,2019,90
269,188545,R. Lewandowski,FC Bayern München,2020,91
270,188545,R. Lewandowski,FC Bayern München,2021,91
271,188545,R. Lewandowski,FC Bayern München,2022,92
272,188545,R. Lewandowski,FC Barcelona,2023,91
273,181872,A. Vidal,FC Bayern München,2017,87
274,181872,A. Vidal,FC Bayern München,2018,86
275,181872,A. Vidal,FC Barcelona,2019,85
276,181872,A. Vidal,FC Barcelona,2020,84
277,181872,A. Vidal,Inter,2021,83
278,181872,A. Vidal,Inter,2022,81
279,181872,A. Vidal,Inter,2023,81
280,232411,C. Nkunku,Paris Saint-Germain,2017,70
281,232411,C. Nkunku,Paris Saint-Germain,2018,74
282,232411,C. Nkunku,Paris Saint-Germain,2019,77
283,232411,C. Nkunku,RB Leipzig,2020,80
284,232411,C. Nkunku,RB Leipzig,2021,80
285,232411,C. Nkunku,RB Leipzig,2022,81
286,232411,C. Nkunku,RB Leipzig,2023,86
287,188377,K. Walker,Tottenham Hotspur,2017,82
288,188377,K. Walker,Manchester City,2018,84
289,188377,K. Walker,Manchester City,2019,84
290,188377,K. Walker,Manchester City,2020,83
291,188377,K. Walker,Manchester City,2021,85
292,188377,K. Walker,Manchester City,2022,85
293,188377,K. Walker,Manchester City,2023,85
294,232656,T. Hernández,Deportivo Alavés,2017,74
295,232656,T. Hernández,Real Madrid,2018,75
296,232656,T. Hernández,Real Sociedad,2019,77
297,232656,T. Hernández,Milan,2020,77
298,232656,T. Hernández,Milan,2021,80
299,232656,T. Hernández,AC Milan,2022,84
300,232656,T. Hernández,AC Milan,2023,85
301,186942,İ. Gündoğan,Manchester City,2017,85
302,186942,İ. Gündoğan,Manchester City,2018,85
303,186942,İ. Gündoğan,Manchester City,2019,84
304,186942,İ. Gündoğan,Manchester City,2020,84
305,186942,İ. Gündoğan,Manchester City,2021,83
306,186942,İ. Gündoğan,Manchester City,2022,85
307,186942,İ. Gündoğan,Manchester City,2023,85
308,214097,B. Bourigeaud,Racing Club de Lens,2017,68
309,214097,B. Bourigeaud,Stade Rennais FC,2018,74
310,214097,B. Bourigeaud,Stade Rennais FC,2019,77
311,214097,B. Bourigeaud,Stade Rennais FC,2020,78
312,214097,B. Bourigeaud,Stade Rennais FC,2021,78
313,214097,B. Bourigeaud,Stade Rennais FC,2022,78
314,214097,B. Bourigeaud,Stade Rennais FC,2023,81
315,223697,R. Gosens,Heracles Almelo,2017,70
316,223697,R. Gosens,Atalanta,2018,71
317,223697,R. Gosens,Atalanta,2019,75
318,223697,R. Gosens,Atalanta,2020,78
319,223697,R. Gosens,Atalanta,2021,82
320,223697,R. Gosens,Atalanta,2022,83
321,223697,R. Gosens,Inter,2023,82
322,181291,G. Wijnaldum,Liverpool,2017,81
323,181291,G. Wijnaldum,Liverpool,2018,82
324,181291,G. Wijnaldum,Liverpool,2019,83
325,181291,G. Wijnaldum,Liverpool,2020,85
326,181291,G. Wijnaldum,Liverpool,2021,85
327,181291,G. Wijnaldum,Paris Saint-Germain,2022,84
328,181291,G. Wijnaldum,Roma,2023,80
329,219683,C. Tolisso,Olympique Lyonnais,2017,81
330,219683,C. Tolisso,FC Bayern München,2018,82
331,219683,C. Tolisso,FC Bayern München,2019,83
332,219683,C. Tolisso,FC Bayern München,2020,82
333,219683,C. Tolisso,FC Bayern München,2021,80
334,219683,C. Tolisso,FC Bayern München,2022,80
335,219683,C. Tolisso,Olympique Lyonnais,2023,81
336,202126,H. Kane,Tottenham Hotspur,2017,85
337,202126,H. Kane,Tottenham Hotspur,2018,88
338,202126,H. Kane,Tottenham Hotspur,2019,90
339,202126,H. Kane,Tottenham Hotspur,2020,89
340,202126,H. Kane,Tottenham Hotspur,2021,88
341,202126,H. Kane,Tottenham Hotspur,2022,90
342,202126,H. Kane,Tottenham Hotspur,2023,89
343,193747,Koke,Atlético Madrid,2017,84
344,193747,Koke,Atlético Madrid,2018,85
345,193747,Koke,Atlético Madrid,2019,85
346,193747,Koke,Atlético Madrid,2020,86
347,193747,Koke,Atlético Madrid,2021,85
348,193747,Koke,Atlético de Madrid,2022,85
349,193747,Koke,Atlético de Madrid,2023,83
350,195479,J. Tavernier,Rangers FC,2017,70
351,195479,J. Tavernier,Rangers FC,2018,73
352,195479,J. Tavernier,Rangers FC,2019,75
353,195479,J. Tavernier,Rangers FC,2020,74
354,195479,J. Tavernier,Rangers FC,2021,75
355,195479,J. Tavernier,Rangers FC,2022,77
356,195479,J. Tavernier,Rangers FC,2023,78
357,183711,J. Henderson,Liverpool,2017,82
358,183711,J. Henderson,Liverpool,2018,81
359,183711,J. Henderson,Liverpool,2019,82
360,183711,J. Henderson,Liverpool,2020,85
361,183711,J. Henderson,Liverpool,2021,86
362,183711,J. Henderson,Liverpool,2022,84
363,183711,J. Henderson,Liverpool,2023,83
364,158023,L. Messi,FC Barcelona,2017,93
365,158023,L. Messi,FC Barcelona,2018,94
366,158023,L. Messi,FC Barcelona,2019,94
367,158023,L. Messi,FC Barcelona,2020,94
368,158023,L. Messi,FC Barcelona,2021,93
369,158023,L. Messi,Paris Saint-Germain,2022,93
370,158023,L. Messi,Paris Saint-Germain,2023,91
371,199556,M. Verratti,Paris Saint-Germain,2017,86
372,199556,M. Verratti,Paris Saint-Germain,2018,87
373,199556,M. Verratti,Paris Saint-Germain,2019,86
374,199556,M. Verratti,Paris Saint-Germain,2020,87
375,199556,M. Verratti,Paris Saint-Germain,2021,86
376,199556,M. Verratti,Paris Saint-Germain,2022,87
377,199556,M. Verratti,Paris Saint-Germain,2023,87
378,214047,M. Uribe,Atlético Nacional,2017,71
379,214047,M. Uribe,Club América,2018,74
380,214047,M. Uribe,Club América,2019,76
381,214047,M. Uribe,FC Porto,2020,78
382,214047,M. Uribe,FC Porto,2021,78
383,214047,M. Uribe,FC Porto,2022,79
384,214047,M. Uribe,FC Porto,2023,81
385,208722,S. Mané,Liverpool,2017,82
386,208722,S. Mané,Liverpool,2018,84
387,208722,S. Mané,Liverpool,2019,87
388,208722,S. Mané,Liverpool,2020,90
389,208722,S. Mané,Liverpool,2021,90
390,208722,S. Mané,Liverpool,2022,89
391,208722,S. Mané,FC Bayern München,2023,89
392,205632,L. Ocampos,Milan,2017,76
393,205632,L. Ocampos,Olympique de Marseille,2018,76
394,205632,L. Ocampos,Olympique de Marseille,2019,77
395,205632,L. Ocampos,Sevilla FC,2020,80
396,205632,L. Ocampos,Sevilla FC,2021,82
397,205632,L. Ocampos,Sevilla FC,2022,83
398,205632,L. Ocampos,Sevilla FC,2023,81
399,202648,Sergi Darder,Olympique Lyonnais,2017,78
400,202648,Sergi Darder,RCD Espanyol,2018,79
401,202648,Sergi Darder,RCD Espanyol,2019,79
402,202648,Sergi Darder,RCD Espanyol,2020,80
403,202648,Sergi Darder,RCD Espanyol,2021,77
404,202648,Sergi Darder,RCD Espanyol de Barcelona,2022,79
405,202648,Sergi Darder,RCD Espanyol de Barcelona,2023,82
406,216393,Y. Tielemans,RSC Anderlecht,2017,79
407,216393,Y. Tielemans,AS Monaco,2018,79
408,216393,Y. Tielemans,Leicester City,2019,78
409,216393,Y. Tielemans,Leicester City,2020,81
410,216393,Y. Tielemans,Leicester City,2021,81
411,216393,Y. Tielemans,Leicester City,2022,84
412,216393,Y. Tielemans,Leicester City,2023,84
413,218667,Bernardo Silva,AS Monaco,2017,83
414,218667,Bernardo Silva,Manchester City,2018,84
415,218667,Bernardo Silva,Manchester City,2019,86
416,218667,Bernardo Silva,Manchester City,2020,87
417,218667,Bernardo Silva,Manchester City,2021,87
418,218667,Bernardo Silva,Manchester City,2022,86
419,218667,Bernardo Silva,Manchester City,2023,88
420,210035,Grimaldo,SL Benfica,2017,78
421,210035,Grimaldo,SL Benfica,2018,80
422,210035,Grimaldo,SL Benfica,2019,82
423,210035,Grimaldo,SL Benfica,2020,83
424,210035,Grimaldo,SL Benfica,2021,84
425,210035,Grimaldo,SL Benfica,2022,82
426,210035,Grimaldo,SL Benfica,2023,82
427,224458,Diogo Jota,FC Porto,2017,76
428,224458,Diogo Jota,Wolverhampton Wanderers,2018,78
429,224458,Diogo Jota,Wolverhampton Wanderers,2019,78
430,224458,Diogo Jota,Wolverhampton Wanderers,2020,80
431,224458,Diogo Jota,Liverpool,2021,80
432,224458,Diogo Jota,Liverpool,2022,82
433,224458,Diogo Jota,Liverpool,2023,85
434,201455,G. Kondogbia,Inter,2017,76
435,201455,G. Kondogbia,Valencia CF,2018,81
436,201455,G. Kondogbia,Valencia CF,2019,81
437,201455,G. Kondogbia,Valencia CF,2020,81
438,201455,G. Kondogbia,Valencia CF,2021,79
439,201455,G. Kondogbia,Atlético de Madrid,2022,79
440,201455,G. Kondogbia,Atlético de Madrid,2023,82
441,186345,K. Trippier,Tottenham Hotspur,2017,77
442,186345,K. Trippier,Tottenham Hotspur,2018,80
443,186345,K. Trippier,Tottenham Hotspur,2019,81
444,186345,K. Trippier,Atlético Madrid,2020,81
445,186345,K. Trippier,Atlético Madrid,2021,83
446,186345,K. Trippier,Atlético de Madrid,2022,84
447,186345,K. Trippier,Newcastle United,2023,84
448,193283,T. Delaney,SV Werder Bremen,2017,78
449,193283,T. Delaney,SV Werder Bremen,2018,78
450,193283,T. Delaney,Borussia Dortmund,2019,82
451,193283,T. Delaney,Borussia Dortmund,2020,82
452,193283,T. Delaney,Borussia Dortmund,2021,81
453,193283,T. Delaney,Sevilla FC,2022,81
454,193283,T. Delaney,Sevilla FC,2023,81
455,231747,K. Mbappé,AS Monaco,2017,79
456,231747,K. Mbappé,Paris Saint-Germain,2018,84
457,231747,K. Mbappé,Paris Saint-Germain,2019,88
458,231747,K. Mbappé,Paris Saint-Germain,2020,89
459,231747,K. Mbappé,Paris Saint-Germain,2021,90
460,231747,K. Mbappé,Paris Saint-Germain,2022,91
461,231747,K. Mbappé,Paris Saint-Germain,2023,91
462,183512,Yuri Berchiche,Real Sociedad,2017,77
463,183512,Yuri Berchiche,Paris Saint-Germain,2018,78
464,183512,Yuri Berchiche,Athletic Club de Bilbao,2019,77
465,183512,Yuri Berchiche,Athletic Club de Bilbao,2020,81
466,183512,Yuri Berchiche,Athletic Club de Bilbao,2021,83
467,183512,Yuri Berchiche,Athletic Club de Bilbao,2022,82
468,183512,Yuri Berchiche,Athletic Club de Bilbao,2023,82
469,193165,J. Corona,FC Porto,2017,80
470,193165,J. Corona,FC Porto,2018,81
471,193165,J. Corona,FC Porto,2019,82
472,193165,J. Corona,FC Porto,2020,82
473,193165,J. Corona,FC Porto,2021,84
474,193165,J. Corona,FC Porto,2022,82
475,193165,J. Corona,Sevilla FC,2023,81
476,204923,M. Sabitzer,RB Leipzig,2017,77
477,204923,M. Sabitzer,RB Leipzig,2018,81
478,204923,M. Sabitzer,RB Leipzig,2019,81
479,204923,M. Sabitzer,RB Leipzig,2020,83
480,204923,M. Sabitzer,RB Leipzig,2021,83
481,204923,M. Sabitzer,FC Bayern München,2022,84
482,204923,M. Sabitzer,FC Bayern München,2023,80
483,224293,Rúben Neves,FC Porto,2017,75
484,224293,Rúben Neves,Wolverhampton Wanderers,2018,78
485,224293,Rúben Neves,Wolverhampton Wanderers,2019,81
486,224293,Rúben Neves,Wolverhampton Wanderers,2020,82
487,224293,Rúben Neves,Wolverhampton Wanderers,2021,82
488,224293,Rúben Neves,Wolverhampton Wanderers,2022,82
489,224293,Rúben Neves,Wolverhampton Wanderers,2023,83
490,173030,Ó. Trejo,Toulouse Football Club,2017,77
491,173030,Ó. Trejo,Rayo Vallecano,2018,77
492,173030,Ó. Trejo,Rayo Vallecano,2019,76
493,173030,Ó. Trejo,Rayo Vallecano,2020,73
494,173030,Ó. Trejo,Rayo Vallecano,2021,71
495,173030,Ó. Trejo,Rayo Vallecano,2022,75
496,173030,Ó. Trejo,Rayo Vallecano,2023,79
497,211748,K. Demirbay,TSG 1899 Hoffenheim,2017,78
498,211748,K. Demirbay,TSG 1899 Hoffenheim,2018,80
499,211748,K. Demirbay,TSG 1899 Hoffenheim,2019,82
500,211748,K. Demirbay,Bayer 04 Leverkusen,2020,81
501,211748,K. Demirbay,Bayer 04 Leverkusen,2021,80
502,211748,K. Demirbay,Bayer 04 Leverkusen,2022,79
503,211748,K. Demirbay,Bayer 04 Leverkusen,2023,81
504,209889,R. Guerreiro,Borussia Dortmund,2017,80
505,209889,R. Guerreiro,Borussia Dortmund,2018,80
506,209889,R. Guerreiro,Borussia Dortmund,2019,82
507,209889,R. Guerreiro,Borussia Dortmund,2020,83
508,209889,R. Guerreiro,Borussia Dortmund,2021,84
509,209889,R. Guerreiro,Borussia Dortmund,2022,84
510,209889,R. Guerreiro,Borussia Dortmund,2023,82
511,172522,D. Wass,RC Celta,2017,80
512,172522,D. Wass,RC Celta,2018,81
513,172522,D. Wass,Valencia CF,2019,79
514,172522,D. Wass,Valencia CF,2020,80
515,172522,D. Wass,Valencia CF,2021,80
516,172522,D. Wass,Valencia CF,2022,80
517,172522,D. Wass,Atlético de Madrid,2023,79
518,201519,J. Veretout,AS Saint-Étienne,2017,77
519,201519,J. Veretout,Fiorentina,2018,78
520,201519,J. Veretout,Fiorentina,2019,79
521,201519,J. Veretout,Roma,2020,79
522,201519,J. Veretout,Roma,2021,79
523,201519,J. Veretout,Roma,2022,82
524,201519,J. Veretout,Olympique de Marseille,2023,79
525,195864,P. Pogba,Manchester United,2017,88
526,195864,P. Pogba,Manchester United,2018,88
527,195864,P. Pogba,Manchester United,2019,88
528,195864,P. Pogba,Manchester United,2020,87
529,195864,P. Pogba,Manchester United,2021,86
530,195864,P. Pogba,Manchester United,2022,87
531,195864,P. Pogba,Juventus,2023,85
532,210243,Ricardo Pereira,OGC Nice,2017,79
533,210243,Ricardo Pereira,FC Porto,2018,81
534,210243,Ricardo Pereira,Leicester City,2019,81
535,210243,Ricardo Pereira,Leicester City,2020,84
536,210243,Ricardo Pereira,Leicester City,2021,85
537,210243,Ricardo Pereira,Leicester City,2022,84
538,210243,Ricardo Pereira,Leicester City,2023,83
539,209499,Fabinho,AS Monaco,2017,81
540,209499,Fabinho,AS Monaco,2018,84
541,209499,Fabinho,Liverpool,2019,85
542,209499,Fabinho,Liverpool,2020,86
543,209499,Fabinho,Liverpool,2021,87
544,209499,Fabinho,Liverpool,2022,86
545,209499,Fabinho,Liverpool,2023,87
546,208421,Saúl,Atlético Madrid,2017,80
547,208421,Saúl,Atlético Madrid,2018,84
548,208421,Saúl,Atlético Madrid,2019,85
549,208421,Saúl,Atlético Madrid,2020,85
550,208421,Saúl,Atlético Madrid,2021,84
551,208421,Saúl,Chelsea,2022,82
552,208421,Saúl,Atlético de Madrid,2023,80
553,231478,L. Martínez,Racing Club,2017,72
